,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Court station name: 
(Entry required.)",,,A. N. Other,,,,,,,,,,JUDICIARY,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Apr,2023,QRCR,E643,3,Apr,2023,,,,,"Stealing, stealing by servant and related offenses",Hon A N Other,,,,,,,Plea,Mention date set (in court),,17,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCRMISC,E107,3,Apr,2023,,,,,Criminal Miscellaneous Application,Hon A N Other,,,,,,,Certificate of urgency,Mention date set (in court),,17,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,34,6,Jan,2020,,,,,Attempted robbery with violence,Hon A N Other,,,,,,,Mention,Mention date set (in court),,31,May,2023,,,1,1,,,No,,,0,,,
,3,Apr,2023,QRCR,E361,14,Feb,2023,,,,,Forestry offenses,Hon A N Other,,,,,,,Hearing of Applications,Hearing date set (in court),,12,Apr,2023,,,1,1,,,Yes,,,0,,,
,3,Apr,2023,QRCR,E481,6,Mar,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Mention,Mention date set (in court),,05,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,E480,6,Mar,2023,,,,,Offences relating to alcoholic drinks control and licensing Act,Hon A N Other,,,,,,,Mention,Mention date set (in court),,05,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRSO,E031,3,Mar,2022,,,,,Defilement,Hon XXXXXXX,,,,,,,Mention,Mention date set (in court),,17,Apr,2023,,,1,1,,,No,,,0,,,
,3,Apr,2023,QRCR,E995,1,Aug,2022,,,,,"Stealing, stealing by servant and related offenses",Hon XYZ,,,,,,,Hearing,Adjournment,Police File not availed,11,May,2023,,,1,,1,,No,,,0,,,
,3,Apr,2023,QRCR,E212,26,Jan,2023,,,,,Attempted robbery,Hon A N Other,,,,,,,Mention,Hearing date set (in court),,21,Jun,2023,,,1,3,,,No,,,3,,,
,3,Apr,2023,QRSO,E006,10,Jan,2023,,,,,Defilement,Hon XXXXXXX,,,,,,,Mention,Hearing date set (in court),,17,Apr,2023,,,1,1,,,No,,,0,,,
,3,Apr,2023,QRCR,E489,6,Mar,2023,,,,,"Malicious damage, injury to property, goods etc",Hon A N Other,,,,,,,Mention,Mention date set (in court),,17,Apr,2023,,,1,2,,,No,,,2,,,
,3,Apr,2023,QRCR,1368,6,Nov,2017,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Mention,Mention date set (in court),,17,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,E897,12,Jul,2022,,,,,"Offenses under False Pretences (e.g. Obtaining, Bad Cheques, Cheating)",Hon XYZ,,,,,,,Hearing,Matter Withdrawn,,,,,,,1,1,,,No,,1,0,,,
,3,Apr,2023,QRCR,E485,6,Mar,2023,,,,,"Stealing, stealing by servant and related offenses",Hon A N Other,,,,,,,Mention,Mention date set (in court),,17,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,E484,6,Mar,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Mention,Mention date set (in court),,17,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,E483,6,Mar,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Mention,Mention date set (in court),,05,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,1887,12,Oct,2021,,,,,Attempted robbery with violence,Hon A N Other,,,,,,,Mention,Mention date set (in court),,17,Apr,2023,,,1,3,,,Yes,,,1,,,
,3,Apr,2023,QRSO,E023,21,Feb,2022,,,,,Defilement,Hon XYZ,,,,,,,Defense Hearing ,Adjournment,Advocate not present,20,Apr,2023,,,1,1,,,Yes,,,0,,,
,3,Apr,2023,QRCR,E1038,15,Aug,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XYZ,,,,,,,Defense Hearing ,Judgment date given,Accused not Present,27,Apr,2023,,,1,,1,,No,,,0,,,
,3,Apr,2023,QRCR,E2162,2,Dec,2021,,,,,"Offenses under False Pretences (e.g. Obtaining, Bad Cheques, Cheating)",Hon XXXXXXX,,,,,,,Mention,Mention date set (in court),,17,Apr,2023,,,1,2,,,No,,,0,,,
,3,Apr,2023,QRCR,E498,9,Mar,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Mention,Mention date set (in court),,05,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,E490,6,Mar,2023,,,,,"Malicious damage, injury to property, goods etc",Hon A N Other,,,,,,,Mention,Mention date set (in court),,17,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,E439,27,Feb,2023,,,,,"Stealing, stealing by servant and related offenses",Hon XYZ,,,,,,,Mention,Mention date set (in court),,24,Apr,2023,,,1,1,,,No,,,0,,,
,3,Apr,2023,QRSO,139,7,Dec,2022,,,,,Defilement,Hon A N Other,,,,,,,Mention,Mention date set (in court),,17,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,E157,20,Jan,2023,,,,,Offenses under Public Health Act,Hon XXXXXXX,,,,,,,Mention,Mention date set (in court),,19,Apr,2023,,,1,,1,,No,,,0,,,
,3,Apr,2023,QRCR,576,26,May,2020,,,,,"Stealing, stealing by servant and related offenses",Hon A N Other,,,,,,,Hearing,Directions given,,19,Jun,2023,,,1,1,,,Yes,,,0,,,
,3,Apr,2023,QRCRMISC,E103,29,Mar,2023,,,,,Criminal Miscellaneous Application,Hon XXXXXXX,,,,,,,Mention,Mention date set (in court),,05,Apr,2023,,,1,1,,,No,,,0,,,
,3,Apr,2023,QRCR,E1517,25,Nov,2022,,,,,"Offenses under False Pretences (e.g. Obtaining, Bad Cheques, Cheating)",Hon A N Other,,,,,,,Hearing,Adjournment,Parties to Negotiate,19,Jun,2023,,,1,1,,,No,,,0,,,
,3,Apr,2023,QRCR,E1272,3,Oct,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XXXXXXX,,,,,,,Mention,Mention date set (in court),,17,Apr,2023,,,1,1,,,No,,,0,,,
,3,Apr,2023,QRSO,E005,10,Jan,2022,,,,,Rape,Hon A N Other,,,,,,,Mention,Hearing date set (in court),,18,May,2023,,,1,2,,,No,,,0,,,
,3,Apr,2023,QRCR,E092,12,Jan,2023,,,,,"Stealing, stealing by servant and related offenses",Hon XXXXXXX,,,,,,,Hearing,Mention date set (in court),,19,Apr,2023,,,1,1,,,No,,,0,,,
,3,Apr,2023,QRSO,E009,24,Jan,2022,,,,,Defilement,Hon A N Other,,,,,,,Mention,Mention date set (in court),,24,Apr,2023,,,1,2,,,Yes,,,2,,,
,3,Apr,2023,QRSO,E009,16,Jan,2023,,,,,Rape,Hon XXXXXXX,,,,,,,Hearing,Hearing date set (in court),,19,Apr,2023,,,1,1,,,No,,,0,,,
,3,Apr,2023,QRSO,E036,24,May,2021,,,,,Defilement,Hon XXXXXXX,,,,,,,Hearing,Hearing date set (in court),,09,Aug,2023,,,1,1,,,Yes,,,0,,,
,3,Apr,2023,QRCRMISC,E093,20,Mar,2023,,,,,Criminal Miscellaneous Application,Hon A N Other,,,,,,,Mention,Terminated/ struck out/ dismissed/case closed ,,,,,,,1,1,1,,No,,,0,,,
,3,Apr,2023,QRSO,124,9,Dec,2019,,,,,Rape,Hon XXXXXXX,,,,,,,Hearing,Mention date set (in court),,18,Apr,2023,,,1,1,,,Yes,4,,0,,,
,3,Apr,2023,QRCR,E2065,9,Nov,2021,,,,,Offenses against Veterinary Surgeons & Veterinary Para-Proffesional Act (e.g. Unlawfully Practising Veterinary Medicine),Hon XXXXXXX,,,,,,,Hearing,Hearing date set (in court),,09,Aug,2023,,,1,,1,,No,,,0,,,
,3,Apr,2023,QRCR,E539,5,May,2022,,,,,"Offenses under False Pretences (e.g. Obtaining, Bad Cheques, Cheating)",Hon A N Other,,,,,,,Fresh Hearing,Adjournment,Police File not availed,05,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,E269,6,Feb,2023,,,,,"Stealing, stealing by servant and related offenses",Hon XYZ,,,,,,,Hearing,Adjournment,Witness not present,13,Apr,2023,,,1,2,,,No,,,0,,,
,3,Apr,2023,QRCR,E303,8,Mar,2022,,,,,Manslaughter,Hon A N Other,,,,,,,Part Heard Hearing,Adjournment,Accused not Ready,17,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRSO,E021,14,Feb,2022,,,,,Defilement,Hon XYZ,,,,,,,Hearing,Adjournment,Accused not Present,24,Apr,2023,,,1,1,,,No,,,0,,,
,3,Apr,2023,QRCR,E2240,20,Dec,2021,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XYZ,,,,,,,Mention,Matter Withdrawn,,,,,,,1,1,,,No,,,0,,,
,3,Apr,2023,QRSO,E034,3,Apr,2023,,,,,Defilement,Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,03,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRCR,E637,3,Apr,2023,,,,,"Arson, setting fire to crops and offences allied to arson",Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,03,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRCR,E638,3,Apr,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,03,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRCR,E639,3,Apr,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,03,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRCR,E640,3,Apr,2023,,,,,Offences relating to alcoholic drinks control and licensing Act,Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,03,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRCR,E1081,30,Aug,2022,,,,,"Creating disturbance, affray, unlawful assembly and riots, and other offenses against public tranquility",Hon XYZ,,,,,,,Hearing,Hearing date set (in court),,27,Apr,2023,,,1,,1,,No,1,,0,,,
,3,Apr,2023,QRCR,E641,3,Apr,2023,,,,,Offences relating to alcoholic drinks control and licensing Act,Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,03,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRSO,E072,16,Sep,2021,,,,,Defilement,Hon XYZ,,,,,,,Mention,Judgment date given,,26,Apr,2023,,,1,1,,,No,,,0,,,
,3,Apr,2023,QRCR,E642,3,Apr,2023,,,,,"Burglary, housebreaking, entering dwelling-house with intent to commit felony and similar offences",Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,03,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRCR,E1049,18,Aug,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XYZ,,,,,,,Hearing,Adjournment,Police File not availed,08,May,2023,,,1,1,,,No,,,0,,,
,3,Apr,2023,QRCR,E643,3,Apr,2023,,,,,"Stealing, stealing by servant and related offenses",Hon Reg Act,,,,,,,Registration/Filing-New Case,Case Registered/Filed,,17,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRCR,E748,13,Jun,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XYZ,,,,,,,Mention,Mention date set (in court),Accused not Present,13,Apr,2023,,,1,1,,,Yes,,,0,,,
,3,Apr,2023,QRCRMISC,E107,3,Apr,2023,,,,,Criminal Miscellaneous Application,Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,03,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRCR,E1084,31,Aug,2022,,,,,"Stealing, stealing by servant and related offenses",Hon XYZ,,,,,,,Mention,Adjournment,Accused not Present,06,Apr,2023,,,1,1,,,No,,,0,,,
,3,Apr,2023,QRINQ,E003,27,Jun,2022,,,,,Inquests,Hon XYZ,,,,,,,Hearing,Hearing date set (in court),,24,Apr,2023,,,1,1,,,No,2,,0,,,
,3,Apr,2023,QRCR,E2068,9,Nov,2021,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XYZ,,,,,,,Mention,Mention date set (in court),Advocate not ready,20,Apr,2023,,,1,1,,,Yes,,,0,,,
,3,Apr,2023,QRCR,E160,23,Jan,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XXXXXXX,,,,,,,Mention,Mention date set (in court),,18,Apr,2023,,,1,1,,,No,,,0,,,
,3,Apr,2023,QRTR,E133,3,Apr,2023,,,,,Other Traffic Offences,Hon A N Other,,,,,,,Plea,Sentenced,,,,,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,E644,3,Apr,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,03,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRTR,E132,3,Apr,2023,,,,,Other Traffic Offences,Hon A N Other,,,,,,,Plea,Sentenced,,,,,,,1,1,,,No,,,0,,,
,3,Apr,2023,QRCR,E635,23,May,2022,,,,,Forgery (including coining),Hon XYZ,,,,,,,Hearing,Adjournment,Accused not Present,13,Apr,2023,,,1,,1,,No,,,0,,,
,3,Apr,2023,QRCR,E645,3,Apr,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,03,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRCRMISC,E110,3,Apr,2023,,,,,Criminal Miscellaneous Application,Hon A N Other,,,,,,,Certificate of urgency,Mention date set (in court),,17,Apr,2023,,,1,4,,,No,,,5,,,
,3,Apr,2023,QRCR,E646,3,Apr,2023,,,,,Attempted robbery,Hon A N Other,,,,,,,Plea,Mention date set (in court),,17,Apr,2023,,,1,3,,,No,,,3,,,
,3,Apr,2023,QRCR,E646,3,Apr,2023,,,,,Attempted robbery,Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,03,Apr,2023,,,1,3,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRCRMISC,E108,3,Apr,2023,,,,,Criminal Miscellaneous Application,Hon A N Other,,,,,,,Certificate of urgency,Mention date set (in court),,05,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,E647,3,Apr,2023,,,,,"Stealing, stealing by servant and related offenses",Hon Reg Act,,,,,,,Registration/Filing-New Case,Case Registered/Filed,,03,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRCR,E648,3,Apr,2023,,,,,"Stealing, stealing by servant and related offenses",Hon Reg Act,,,,,,,Registration/Filing-New Case,Case Registered/Filed,,03,Apr,2023,,,1,2,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRCR,E649,3,Apr,2023,,,,,"Possession of narcotic drugs and psychotropic substances (cannabis sativa, cocaine, heroin etc.)",Hon Reg Act,,,,,,,Registration/Filing-New Case,Case Registered/Filed,,03,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRSO,E034,3,Apr,2023,,,,,Defilement,Hon A N Other,,,,,,,Plea,Mention date set (in court),,17,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCRMISC,E108,3,Apr,2023,,,,,Criminal Miscellaneous Application,Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,05,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRCRMISC,E109,3,Apr,2023,,,,,Criminal Miscellaneous Application,Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,03,Apr,2023,,,1,,2,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRCRMISC,E110,3,Apr,2023,,,,,Criminal Miscellaneous Application,Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,03,Apr,2023,,,1,4,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRCR,E648,3,Apr,2023,,,,,"Stealing, stealing by servant and related offenses",Hon A N Other,,,,,,,Plea,Mention date set (in court),,17,Apr,2023,,,1,2,,,No,,,2,,,
,3,Apr,2023,QRTR,E132,3,Apr,2023,,,,,Other Traffic Offences,Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,03,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRCR,E645,3,Apr,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Plea,Mention date set (in court),,17,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRTR,E133,3,Apr,2023,,,,,Other Traffic Offences,Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,03,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,3,Apr,2023,QRCR,E647,3,Apr,2023,,,,,"Stealing, stealing by servant and related offenses",Hon A N Other,,,,,,,Plea,Mention date set (in court),,05,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,E644,3,Apr,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon A N Other,,,,,,,Plea,Matter Withdrawn,,,,,,,1,1,,,No,,,0,,,
,3,Apr,2023,QRCR,E641,3,Apr,2023,,,,,Offences relating to alcoholic drinks control and licensing Act,Hon A N Other,,,,,,,Plea,Mention date set (in court),,06,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,E640,3,Apr,2023,,,,,Offences relating to alcoholic drinks control and licensing Act,Hon A N Other,,,,,,,Plea,Mention date set (in court),,06,Apr,2023,,,1,1,,,No,,,1,,,
,3,Apr,2023,QRCR,E542,15,Mar,2023,,,,,Fraud/Conspiracy to defraud,Hon XYZ,,,,,,,Bond Approvals,Directions given,,,,,,,1,3,,,No,,,1,,,
,4,Apr,2023,QRCR,E515,10,Mar,2023,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XXXXXXX,,,,,,,Hearing,Matter Withdrawn,,,,,,,1,1,,,No,,,0,,,
,4,Apr,2023,QRCR,E339,13,Feb,2023,,,,,"Burglary, housebreaking, entering dwelling-house with intent to commit felony and similar offences",Hon XYZ,,,,,,,Hearing,Matter Withdrawn,,,,,,,1,1,,,No,1,,1,,,
,4,Apr,2023,QRCR,E1668,28,Dec,2022,,,,,Attempted robbery,Hon XXXXXXX,,,,,,,Hearing,Mention date set (in court),,18,Apr,2023,,,1,2,,,No,,,0,,,
,4,Apr,2023,QRCR,E503,9,Mar,2023,,,,,"Malicious damage, injury to property, goods etc",Hon XXXXXXX,,,,,,,Hearing,Matter Withdrawn,,,,,,,1,1,,,No,,,0,,,
,4,Apr,2023,QRSO,E035,4,Apr,2023,,,,,Defilement,Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,04,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,4,Apr,2023,QRCR,E1407,31,Oct,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XXXXXXX,,,,,,,Hearing,Adjournment,Advocate not ready,14,Jun,2023,,,1,1,,,No,,,0,,,
,4,Apr,2023,QRTR,E124,29,Mar,2023,,,,,Contravening Insurance Act/Road Service License (TLB)/NTSA,Hon XYZ,,,,,,,Hearing,Mention date set (in court),,25,Apr,2023,,,1,1,,,No,,,0,,,
,4,Apr,2023,QRTR,E105,20,Mar,2023,,,,,Other Traffic Offences,Hon WWWWWW,,,,,,,Mention,Hearing date set (in court),,02,May,2023,,,1,1,,,No,,,0,,,
,4,Apr,2023,QRCR,E1533,28,Nov,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon WWWWWW,,,,,,,Mention,Mention date set (in court),,25,Apr,2023,,,1,1,,,Yes,,,0,,,
,4,Apr,2023,QRCR,E901,12,Jul,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon WWWWWW,,,,,,,Judgment,Judgment delivered- convicted,,,,,,,1,,1,,No,,,0,,,
,4,Apr,2023,QRSO,E084,29,Jul,2022,,,,,Defilement,Hon WWWWWW,,,,,,,Judgment,Sentenced,,,,,,,1,1,,,No,,,0,,,
,4,Apr,2023,QRCR,E651,4,Apr,2023,,,,,"Stealing, stealing by servant and related offenses",Hon Reg Act,,,,,,,Registration/Filing-New Case,Case Registered/Filed,,04,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,4,Apr,2023,QRCR,E1533,28,Nov,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon WWWWWW,,,,,,,Mention,Mention date set (in court),,04,Apr,2023,,,1,1,,,Yes,,,1,,,
,4,Apr,2023,QRCR,E652,4,Apr,2023,,,,,"Burglary, housebreaking, entering dwelling-house with intent to commit felony and similar offences",Hon Reg Act,,,,,,,Registration/Filing,Case Registered/Filed,,18,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,4,Apr,2023,QRCR,E558,9,May,2022,,,,,"Stealing, stealing by servant and related offenses",Hon XXXXXXX,,,,,,,Hearing,Hearing date set (in court),,18,Jul,2023,,,1,1,,,No,,,0,,,
,4,Apr,2023,QRCR,E295,7,Mar,2022,,,,,"Stealing, stealing by servant and related offenses",Hon XXXXXXX,,,,,,,Hearing,Adjournment,Witness not present,03,Jul,2023,,,1,1,,,No,,,0,,,
,4,Apr,2023,QRCR,E1524,29,Jul,2021,,,,,"Attempted Murder, Threatening to kill, Attempted Suicide",Hon XXXXXXX,,,,,,,Mention,Hearing date set (in court),,13,Jun,2023,,,1,1,,,No,,,0,,,
,4,Apr,2023,QRCR,607,4,Jun,2020,,,,,"Stealing, stealing by servant and related offenses",Hon WWWWWW,,,,,,,Mention,Mention date set (in court),,05,Apr,2023,,,1,,2,,Yes,,,0,,,
,4,Apr,2023,QRCR,E1574,8,Dec,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XXXXXXX,,,,,,,Hearing,Hearing date set (in court),,23,May,2023,,,1,2,1,,No,1,,0,,,
,4,Apr,2023,QRCR,E1250,29,Sep,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XXXXXXX,,,,,,,Hearing,Mention date set (in court),,18,Apr,2023,,,1,1,,,No,1,,0,,,
,4,Apr,2023,QRCR,E653,4,Apr,2023,,,,,"Stealing, stealing by servant and related offenses",Hon Reg Act,,,,,,,Registration/Filing-New Case,Case Registered/Filed,,04,Apr,2023,,,1,1,,,No,,,,Outcome updated outomatically during registrations,,
,4,Apr,2023,QRCR,E514,26,Apr,2022,,,,,"Possession of narcotic drugs and psychotropic substances (cannabis sativa, cocaine, heroin etc.)",Hon XXXXXXX,,,,,,,Mention,Hearing date set (in court),,13,Jun,2023,,,1,1,,,No,,,0,,,
,4,Apr,2023,QRSO,E066,13,Aug,2021,,,,,Attempted defilement,Hon XXXXXXX,,,,,,,Mention,Hearing date set (in court),,13,Jun,2023,,,1,1,,,No,,,0,,,
,4,Apr,2023,QRCR,E943,18,Jul,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon WWWWWW,,,,,,,Judgment,Judgment delivered- acquittal,,,,,,,1,1,,,No,,,0,,,
,4,Apr,2023,QRCR,E704,7,Jun,2022,,,,,"Theft, handling stolen or suspected stolen property/goods, possession of government/public stores, and related offenses",Hon WWWWWW,,,,,,,Judgment,Judgment delivered- convicted,,13,Apr,2023,,,1,1,1,,No,,,0,,,
,4,Apr,2023,QRCR,E1561,5,Dec,2022,,,,,"Grievous harm, maim, assault causing actual bodily harm, common assault",Hon XXXXXXX,,,,,,,Mention,Mention date set (in court),,18,Apr,2023,,,1,1,,,No,,,0,,,
,4,Apr,2023,QRCR,E1286,5,Oct,2022,,,,,"Stealing, stealing by servant and related offenses",Hon XXXXXXX,,,,,,,Mention,Hearing date set (in court),,05,Jun,2023,,,1,1,,,No,,,0,,,
,4,Apr,2023,QRSO,E099,29,Aug,2022,,,,,Rape,Hon WWWWWW,,,,,,,Hearing,Hearing date set (in court),,17,May,2023,,,1,1,,,No,,,0,,,
